id,number,artist,title,genre,year,artwork_path
442,B 196 a,Bryan Adams,Christmas time,Kerst,1986,
443,B 196 b,Bryan Adams,Christmas reggae,Kerst,1986,
444,B 197,Band of Gold,This is our time,,1985,
445,B 198,Black Uhuru,What is life,,1984,
446,B 199,Bee Gees,You win again,,1987,
447,B 200,Bananarama,Venus,,1986,
448,B 201,Barbarella,We cheer you up (join the Pin-Up club),,1988,
449,B 202,Bruce Hornsby and the Range,The way it is,,1986,
450,B 203,Billy Joel,Goodnight Saigon,,1982,
451,B 204,Billy Ocean,"When the going gets tough, the tough get going",,1986,
452,B 205,Billy Ocean,Suddenly,,1984,
453,B 206,"Bee Gees, the",Tomorrow tomorrow,,1969,
454,B 207,Bob Crosby and his Bob Cats,Sousa goes Dixieland,,2022,
455,B 208,Blondie,Heart of Glass,,1979,
456,B 209,Bandolero,Paris Latino,,1983,
457,B 210,Ben Cramer,Leven,,1974,
458,B 211,Bill Withers,Ain't no Sunshine,,1971,
459,B 212,"Bangles, the",Walk like an Egyptian,,1985,
460,B 213,"Bangles, the",Manic Monday,,1985,
461,B 214 a,"Bee Gees, the",First of May,,1969,
462,B 214 b,"Bee Gees, the",Lamplight,,1969,
463,B 215,"Bee Gees, the",Don't forget to remember,,1969,
464,B 216,"Beach Boys, the",Good Vibrations,,1966,
465,B 217,"Beatles, the",Ain't she sweet,,1964,
466,B 218,Bob and Earl,Harlem Shuffle,,1969,
467,C 1,Café Creme,Non-stop Beatles disco,,1977,
468,C 2,Canyon,Down Town,,2022,
469,C 3,Cardinal Point,"Mama, Papa",,1972,
470,C 4,Cardinal Point,I'm the great pretender,,1973,
471,C 5,Carl Douglas,Dance the Kung Fu,,1974,
472,C 6,Carlos,Big Bisou,,1977,
473,C 7,Carly Simon,You're so vain,,1972,
474,C 8,Carpenters,Yesterday once more,,1973,
475,C 9,Carpenters,Top of the world,,1973,
476,C 10,Carpenters,Please Mr. Postman,,1974,
477,C 11 a,Carpenters,Goofus,,1976,
478,C 11 b,Carpenters,Breaking up is hard to do,,1976,
479,C 12,Carpenters,Solitaire,,1975,
