id,number,artist,title,genre,year,artwork_path
13579,CD 374 1 17,Queen,I want it all,,1989,
13580,CD 374 2 1,Gerard Joling,No more boleros,,1989,
13581,CD 374 2 2,Rocco & the Carnations,Marina,,1989,
13582,CD 374 2 3,Soul II Soul,Back to life (however do you want me),,1989,
13583,CD 374 2 4,Diana Ross & the Supremes,Reflections,,1989,
13584,CD 374 2 5,Margaret singana,We are growing (radio-mix),,1989,
13585,CD 374 2 6,Tina Turner,The best,,1989,
13586,CD 374 2 7,Kaoma,Lambada,,1989,
13587,CD 374 2 8,Technotronic ft. Felly,Pump up the jam,,1989,
13588,CD 374 2 9,BZN,If I had only a change,,1989,
13589,CD 374 2 10,Richard Marx,Right here waiting,,1989,
13590,CD 374 2 11,Sydney Youngblood,If only I could,,1989,
13591,CD 374 2 12,Milli Vanilli,Girl I'm gonna miss you,,1989,
13592,CD 374 2 13,Carly Simon,It's hard to be tender,,1989,
13593,CD 374 2 14,Double Trouble,Street tuff,,1989,
13594,CD 374 2 15,Lou Rawls & Diana Reeves,Fine brown frame,,1989,
13595,CD 374 2 16,Anny Schilder,You are my hero,,1989,
13596,CD 374 2 17,Roxette,Listen to your heart,,1989,
13597,CD 374 2 18,Buster Poindexter,Hit the road Jack,,1989,
13598,CD 375 1 1,Guus Meeuwis & Vagant,Het is een nacht,Nederlands,1995,
13599,CD 375 1 2,Ruth Jacott,Ik ga door,Nederlands,1995,
13600,CD 375 1 3,De Nachraove,Sjeng aon de geng,Nederlands,1995,
13601,CD 375 1 4,Frans Bauer,Een dag uit duizend dromen,Nederlands,1995,
13602,CD 375 1 5,De Sonnies,Dans je de hele nacht met mij?,Nederlands,1995,
13603,CD 375 1 6,Sugar Lee Hooper,De Wandelclub,Nederlands,1995,
13604,CD 375 1 7,"Roos, Linda en Jessica",Ademnood,Nederlands - RTV (GTST),1995,
13605,CD 375 1 8,Ome Henk,Op de camping,Nederlands,1995,
13606,CD 375 1 9,Arie Passchier,Kleine Vogel,Nederlands,1995,
13607,CD 375 1 10,C'est Tout,De tandenborstel jive,Nederlands,1995,
13608,CD 375 1 11,GIJP,Geef me hoop Jomanda,Nederlands,1995,
13609,CD 375 1 12,Wolter Kroes,Laat me los,Nederlands,1995,
13610,CD 375 1 13,Willy & Willeke Alberti,De glimlach van een kind,Nederlands,1995,
13611,CD 375 1 14,Koos Alberts,De Amsterdamse hitmedley,Nederlands,1995,
13612,CD 375 1 15,Danny Lukassen,Ajax is kampioen,Nederlands,1995,
13613,CD 375 1 16,Rowwen Heze,'t Roeie klied,Nederlands,1995,
13614,CD 375 1 17,De Assekruus,Slavenkoor,Nederlands,1995,
13615,CD 375 1 18,Höllenboer,'t Busje komt zo,Nederlands,1995,
13616,CD 375 2 1,Marco Borsato,Waarom nou jij?,Nederlands,1995,
13617,CD 375 2 2,Bert Heerink,Juli July,Nederlands,1995,
13618,CD 375 2 3,Marcel de Groot,Mag ik naar je kijken?,Nederlands,1995,
13619,CD 375 2 4,Flair,Oh Middernacht,Nederlands,1995,
13620,CD 375 2 5,Tineke Schouten,De babbelende papegaai,Nederlands,1995,
13621,CD 375 2 6,Benny Neyman,Scherven van je leven,Nederlands,1995,
13622,CD 375 2 7,Frans Bauer,Waarom heb jij mij verlaten?,Nederlands,1995,
13623,CD 375 2 8,Cheers,"Alice, ik geef geen XXX om Alice",Nederlands,1995,
13624,CD 375 2 9,Maribelle,Ik wil jou,Nederlands,1995,
13625,CD 375 2 10,Gerard Joling,Zing met me mee,Nederlands,1995,
13626,CD 375 2 11,Hanny,Ik ben geen Mata Hari,Nederlands,1995,
13627,CD 375 2 12,Marc Daniëls,Deveny,Nederlands,1995,
13628,CD 375 2 13,Marianne Weber,Kind van mij,Nederlands,1995,
13629,CD 375 2 14,Urbanus,Poesje stoei,Nederlands,1995,
13630,CD 375 2 15,Joël,Een doodgewone kat,Nederlands,1995,
13631,CD 375 2 16,Dennie Damaro,Alles of niets,Nederlands,1995,
13632,CD 375 2 17,Gordon,Omdat ik zo van je hou,Nederlands,1995,
13633,CD 375 2 18,Normaal,Now en,Nederlands,1995,
13634,CD 375 2 19,Palemiger Spatzen,Goeiemorgen,Nederlands,1995,
13635,CD 376 1 1,Haddaway,What is love,,1993,
13636,CD 376 1 3,Rage,Run to you,,1993,
13637,CD 376 1 4,2 Unlimited,No limit,,1993,
13638,CD 376 1 2,Sonic Surfers (ft. Jocelyn W\Brown),Take me up,,1993,
13639,CD 376 1 5,The Goodmen,Give it up,,1993,
13640,CD 376 1 6,Jenny Bee,Wanna get your love,,1993,
13641,CD 376 1 7,Freddy McGregor,This carry go bring come,,1993,
13642,CD 376 1 8,Consolidated,You suck,,1993,
13643,CD 376 1 9,Pin-Occhio,Pinocchio,,1993,
13644,CD 376 1 10,Captain Hollywood project,More and more,,1993,
13645,,,,,0,
13646,CD 376 1 11,N U K E,Nana,,1993,
13647,CD 376 1 12,Betty Wright,Tonight is the night,,1993,
13648,CD 376 1 13,Sub Sub ft. Melanie Williams,Ain't no love (ain't no use),,1993,
13649,CD 376 1 14,Tatjana,Feel good,,1993,
13650,CD 376 1 15,Ronald,Transsexueel,,1993,
13651,376 2 1,2 Unlimited,Faces,,1993,
13652,376 2 2,Jazzy Jeff & Fresh Prince,Boom ! Shake the room,,1993,
13653,376 2 3,Right said Fred,Bumped,,1993,
13654,376 2 4,Robin S,Luv 4 luv,,1993,
13655,376 2 5,CB Milton,Send me an angel,,1993,
13656,376 2 6,Rene Froger,Nibody else ('93 dance mix),,1993,
13657,376 2 7,Klatsch!,Oh boy,,1993,
13658,376 2 8,Dj Bobo,Somebody dance with me,,1993,
13659,376 2 9,Def Dames Dope,Ain't nothing to it,,1993,
13660,376 2 10,Albert West,Mockin' bird hill,,1993,
13661,376 2 11,Bitty McLean,It keeps raining,,1993,
13662,376 2 12,Dance 2 trance,Power of American natives,,1993,
13663,376 2 13,Los Del Rio,Macarena,,1993,
13664,376 2 14,Shaggy,Oh Carolina,,1993,
13665,376 2 15,SOLO,Come on,,1993,
13666,377 1 1,Mika,"Relax, take it easy",,2007,
13667,377 1 2,Enrique Iglesias,Do you know (The ping pong song),,2007,
13668,377 1 3,Fergie,Big girls don't cry,,2007,
13669,377 1 4,Jeckyll & Hyde,Freefall,,2007,
13670,377 1 5,Rihanna,Shut up and drive,,2007,
13671,377 1 6,Guus Meeuwis,Proosten,Nederlands,2007,
13672,377 1 7,Timbaland ft. Keri Hilson & D O E,The way I are,,2007,
13673,377 1 8,The Plain White T's,Hey there Delilah,,2007,
13674,377 1 9,Beyoncé,Green light,,2007,
13675,377 1 10,Kate Ryan,Voyage voyage,,2007,
13676,377 1 11,Shakira,Pure Intuition,,2007,
13677,377 1 12,Alex Gaudino ft. Crystal Waters,Destination Calabria,,2007,
13678,377 1 13,Akon,Don't matter,,2007,
13679,377 1 14,Sunfreakz ft. Andrea Britton,Counting down the days,,2007,
13680,377 1 15,Jennifer Lopez,Do it well,,2007,
13681,377 1 16,Maroon 5,Wake up call,,2007,
13682,377 1 17,Daughtry,It's not over,,2007,
13683,377 1 18,David Guetta ft. Chris Willis,Love is gone,,2007,
13684,377 1 19,The Fray,How to save a life,,2007,
13685,377 1 20,Krezip,Plug it in & turn me on,,2007,
13686,377 1 21,Hellogoodbye,Here (in your arms),,2007,
13687,377 1 22,Jannes,Laat de zon maar schijnen,Nederlands,2007,
13688,377 2 1,Gerard Joling,Maak me gek,Nederlands,2007,
13689,377 2 2,Justin Timberlake,Lovestoned / I think she knows,,2007,
13690,377 2 3,Nelly Furtado ft. Juanes,Te busque,,2007,
13691,377 2 4,Jan Smit,Cupido,,2007,
13692,377 2 5,Gwen Stefani,Wind it up,,2007,
13693,377 2 6,Yves Larock,Rise up,,2007,
13694,377 2 7,Nick & Simon,Kijk omhoog,Nederlands,2007,
13695,377 2 8,Christina Aguilera,Hurt,,2007,
13696,377 2 9,XYP,Body to body,,2007,
13697,377 2 10,Milk Inc.,Sunrise,,2007,
13698,377 2 11,John Legend,Save room,,2007,
13699,377 2 12,Take that,Patience,,2007,
13700,377 2 13,Sean Kingston,Beautiful girls,,2007,
13701,377 2 14,Within Temptation,Frozen,,2007,
13702,377 2 15,Dj Porny,Me so horny,,2007,
13703,377 2 16,Di-rect,A good thing,,2007,
13704,377 2 17,Blof,Donker hart,Nederlands,2007,
13705,377 2 18,Patrick Jumpen,Holiday,,2007,
13706,377 2 19,Peter Gelderblom,Waiting 4,,2007,
13707,377 2 20,Monique Smit,Wild,Nederlands,2007,
13708,377 2 21,Gerard - Rene - Gordon,Can you feel it?,,2007,
13709,CD 378 1 1,Boney M,Rivers of Babylon,,1978,
13710,CD 378 1 2,Billy Ocean,"When yhe going gets tough, the tough get going",,1986,
13711,CD 378 1 3,Dionne Warwick & Barry Gibb,Heartbreaker,,1982,
13712,CD 378 1 4,Allan Parsons,Don't answer me,,1984,
13713,CD 378 1 5,Ten Sharp,You,,1991,
13714,CD 378 1 6,Golden Earring,Quiet eyes,,1986,
13715,CD 378 1 7,Glady's Knight,License to kill,,1989,
13716,CD 378 1 8,June Lodge & prince Mohammed,Someone loves you honey,,1982,
13717,CD 378 1 9,Kim Wilde,Never trust a stranger,,1988,
13718,CD 378 1 10,Wayne Wade,Lady,,1983,
13719,CD 378 1 11,Shai,If I ever fall in love,,1993,
13720,CD 378 1 12,Milli Vanilli,Girl I'm gonna miss you,,1989,
13721,CD 378 1 13,Gazebo,I like Chopin,,1983,
13722,CD 378 1 14,Sophia George,Girlie Girlie,,1986,
13723,CD 378 1 15,Tight Fit,The lion sleeps tonight,,1982,
13724,CD 378 1 16,FR David,Words,,1982,
13725,CD 378 1 17,Bitty McLean,It keeps raining',,1993,
13726,CD 378 1 18,Boris Gardner,I want to wake up with you,,1986,
13727,CD 378 1 19,Rah Band,Clouds across the moon,,1985,
13728,CD 378 1 20,Snowy White,Bird of Paradise,,1984,
13729,CD 378 1 21,Julie Covington,Don't cry for me Argentina,,1977,
13730,CD 378 1 22,Bomb the Bass ft. Maureen Walsh,Say a little prayer,,1989,
13731,CD 378 1 23,Clint Eastwood & General Saint,Stop that train,,1984,
13732,CD 378 1 24,Imagination,Just an illusion,,1982,
13733,CD 378 1 25,Guys 'n' Dolls,There's a whole lot of loving goin'on,,1975,
13734,CD 378 2 1,Lois Lane,Tonight,,1995,
13735,CD 378 2 2,Max Werner,Rain in May,,1981,
13736,CD 378 2 3,Vitesse,Rosalyn,,1982,
13737,CD 378 2 4,Bert Heerink,Julie July,,1995,
13738,CD 378 2 5,Marcel de Groot,Mag ik naar je kijken,,1995,
13739,CD 378 2 6,Herman Brood & Henny Vrienten,Als je wint,,1984,
13740,CD 378 2 7,Het Goede Doel,Vriendschap,,1983,
13741,CD 378 2 8,De Jazzpolitie,Liefdesliedjes,,1993,
13742,CD 378 2 9,Toontje Lager,Stiekem gedanst,,1983,
13743,CD 378 2 10,Erik Mesie,Zonder jou,,1986,
13744,CD 378 2 11,De Kast,Raak,,1996,
13745,CD 378 2 12,Guus Meeuwis & Vagant,Het is een nacht,,1995,
13746,CD 378 2 13,Peter de Koning,Het is altijd lente in de ogen van de tandartsassistente,,1995,
13747,CD 378 2 14,One Two Trio,Juffrouw Toos,,1996,
13748,CD 378 2 15,Hermes House Band,I will survive,,1994,
13749,CD 378 2 16,Gompie,"Alice, who the X is Alice",,1995,
13750,CD 378 2 17,Vanessa,Upside down,,1992,
13751,CD 378 2 18,Spargo,You and me,,1980,
13752,CD 378 2 19,George Baker Selection,Santa Lucia by night,,1985,
13753,CD 378 2 20,Maxine & Franklin Brown,De eerste keer,,1996,
13754,CD 378 2 21,Ruud Gullit & Revelation Time,South Africa,,1988,
13755,CD 378 2 22,Gordon,Omdat ik zo van je hou,,1995,
13756,CD 378 2 23,Maywood,Give me back my love,,1980,
13757,CD 378 2 24,Patricia Paay,Tomorrow,,1982,
13758,CD 378 2 25,Tol & Tol,Eleni,,1989,
13759,CD 378 3 1,Gala,Freed from disire,,1996,
13760,CD 378 3 2,Haddaway,What is love,,1993,
13761,CD 378 3 3,Double You,Please don't go,,1992,
13762,CD 378 3 4,Duke,So in love with you,,1995,
13763,CD 378 3 5,Robin S,Luv 4 luv,,1993,
13764,CD 378 3 6,Kristine W,Feel what you want,,1994,
13765,CD 378 3 7,Adamski,Killer,,1990,
13766,CD 378 3 8,Urban Cookie Collective,The key: The secret,,1993,
13767,CD 378 3 9,Spanic,Sister golden hair,,1994,
13768,CD 378 3 10,BFI,Why not jazz,,1992,
13769,CD 378 3 11 ,Corona,The rhyttm of the night,,1994,
13770,CD 378 3 12,Nicky French,Total eclips of the heart,,1995,
13771,CD 378 3 13,Rozalla,Everybody's free,,1991,
13772,CD 378 3 14,CB Milton,Send me an angel,,1993,
13773,CD 378 3 15,Rednex,Cotton eye Joe,,1994,
13774,CD 378 3 16,TNN,La Cucamarcha,,1994,
13775,CD 378 3 17,Cappella,Move on baby,,1994,
13776,CD 378 3 18,2 Brothers on the 4th floor,Dreams,1994,1994,
13777,CD 378 3 19,DJ Bobo,Somebody dance with me,,1993,
13778,CD 378 3 20,Double Vision,Knockin',,1995,
13779,CD 378 3 21,N Trance,Set you free,,1995,
13780,CD 378 3 22,Atlantic Ocean,Waterfall,,1994,
13781,CD 378 3 23,Mighty Dub Kats,Magic carpet ride,,1995,
13782,CD 378 3 24,S Express,The from S-Express,,1988,
13783,CD 378 3 25,DJ Jazzy Jeff & the Fresh Prince,Ring my bell,,1991,
13784,CD 378 4 1,Rick Astley,Never gonna give you up,,1987,
13785,CD 378 4 2,Taylor Dayne,Tell it to my heart,,1988,
13786,CD 378 4 3,Five Star,All fall down,,1985,
13787,CD 378 4 4,Colonel Abrams,Trapped,,1985,
13788,CD 378 4 5,Breakfast Club,Right on track,,1987,
13789,CD 378 4 6,Alisha,Baby talk,,1986,
13790,CD 378 4 7,Centerfold,Dictator,,1986,
13791,CD 378 4 8,Maj Taj,Female Intuition,,1986,
13792,CD 378 4 9,Video,Somebody,,1984,
13793,CD 378 4 10,Fun Fun,Color my love,,1984,
13794,CD 378 4 12,Desireless,Voyage Voyage,,1987,
13795,CD 378 4 13,Samantha Fox,Touch me,,1986,
13796,CD 378 4 14,Kelly Marie,Feels like I'm in love,,1980,
13797,CD 378 4 15,Viola Wills,If you could read my mind,,1981,
13798,CD 378 4 16,Rose Royce,Car Wash,,1977,
13799,CD 378 4 17,David Christie,Saddle up,,1982,
13800,CD 378 4 18,Tony Esposito,Papa Chico,,1987,
13801,CD 378 4 19,Shaggy,Oh Carolina,,1993,
13802,CD 378 4 20,CJ Lewis,Sweets for my sweet,,1994,
13803,CD 378 4 21,Bobby Brown,My Prerogative,,1989,
13804,CD 378 4 22,Jeremy Jackson,You can run,,1995,
13805,CD 378 4 23,T Spoon,Mercedes Benz,,1995,
13806,CD 378 4 24,2 Unlimited,Nothing like the rain,,1995,
13807,CD 378 4 25,Nasty,Een moment zonder jou,,1996,
13808,CD 379 1 1,Rick Astley,Never gonna give you up,,1987,
13809,CD 379 1 2,Modern Talking,Brother Louie,,1986,
13810,CD 379 1 3,Falco,Rock me Amadeus,,1985,
13811,CD 379 1 4,Talking Heads,Road to Nowhere,,1985,
13812,CD 379 1 5,Elton John,I'm still standing,,1983,
13813,CD 379 1 6,Wham!,Wake me up before you go go,,1984,
13814,CD 379 1 7,Tears for Fears,Shout,,1985,
13815,CD 379 1 8,Eurythmics,Sweet dreams (are made of this),,1983,
13816,CD 379 1 9,Electric Light Orchestra   ELO,Hold on tight,,1981,
13817,CD 379 1 10,Erasure,Sometimes,,1987,
13818,CD 379 1 11,Kajagoogoo,Too Shy,,1983,
13819,CD 379 1 12,Level 42,Lessons in love,,1986,
13820,CD 379 1 13,Fleetmood Mac,Little lies,,1987,
13821,CD 379 1 14,John Farnham,You're the voice,,1987,
13822,CD 379 1 15,Alphaville,Big in Japan,,1984,
13823,CD 379 1 16,A-Ha,Take on me,,1985,
13824,CD 379 2 1,Opus,Live is life,,1985,
13825,CD 379 2 2,Aneka,Japanese boy,,1981,
13826,CD 379 2 3,Ray Parker jr,Ghostbusters,,1984,
13827,CD 379 2 4,Bananarama,Venus,,1986,
13828,CD 379 2 5,Living in a box,Living in a box,,1987,
13829,CD 379 2 6,Kylie Minogue,I should be so lucky,,1988,
13830,CD 379 2 7,Bucks Fizz,Making your mind up,Engels Songfestival # 1 Engeland,1981,
13831,CD 379 2 8,The Communards,Don't leave me this way,,1986,
13832,CD 379 2 9,Kim Wilde,Kids in America,,1981,
13833,CD 379 2 10,Blow Monkeys,It doesn't have to be this way,,1987,
13834,CD 379 2 11,Howard Jones,What is love?,,1983,
13835,CD 379 2 12,Starship,We built this city,,1985,
13836,CD 379 2 13,Status Quo,What you're proposing,,1980,
13837,CD 379 2 14,David Hasselhoff,Looking for freedom,,1989,
13838,CD 379 2 15,Billy Ocean,"When the going gets tough, the tough get going",,1984,
13839,CD 379 2 16,Kaoma,Lambada,,1985,
13840,CD 379 3 1,S Express,Theme from S'Express,,1988,
13841,CD 379 3 2,Paul Hardcastle,Nineteen   19,,1985,
13842,CD 379 3 3,M/A/R/R/S    MARRS,Pump up the volume,,1987,
13843,CD 379 3 4,Chaka Khan,I feel for you,,1984,
13844,CD 379 3 5,Joyce Sims,Come into my life,,1988,
13845,CD 379 3 6,Ashford & Simpson,Solid,,1985,
13846,CD 379 3 7,Aretha Franklin,Who's zoomin' who,,1986,
13847,CD 379 3 8,Nu Shooz,I can't wait,,1986,
13848,CD 379 3 9,Pointer Sisters,I'm so excited,,1984,
13849,CD 379 3 10,Sam Fox  (Samantha),Touch me (I want your body),,1986,
13850,CD 379 3 11,Mel & Kim,Respectable,,1987,
13851,CD 379 3 12,Robbie Nevil,C'est la vie,,1986,
13852,CD 379 3 13,Taylor Dayne,Tell it to my heart,,1988,
13853,CD 379 3 14,Technotronic,Pump up the jam,,1989,
13854,CD 379 3 15,Bomb the bass,Beat this,,1988,
13855,CD 379 3 16,New Order,Blue Monday,,1983,
13856,CD 379 4 1,Kim Carnes,Bette Davis eyes,,1981,
13857,CD 379 4 2,Laura Branigan,Self control,,1984,
13858,CD 379 4 3,Milli Vanilli,Girl I'm gonna miss you,,1989,
13859,CD 379 4 4,Desireless,Voyage voyage,,1987,
13860,CD 379 4 5,Fairground Attraction,Perfect,,1988,
13861,CD 379 4 6,WAX,Bridge to your heart,,1987,
13862,CD 379 4 7,The Cars,Drive,,1984,
13863,CD 379 4 8,Paul Young,Love of the common people,,1984,
13864,CD 379 4 9,Thompson Twins,Doctor doctor,,1984,
13865,CD 379 4 10,J Geils Band,Centrefold,,1982,
13866,CD 379 4 11,Mr Mister,Kyrie,,1986,
13867,CD 379 4 12,Hall & Oates,Maneater,,1982,
13868,CD 379 4 13,Adam & the Ants,Stand & deliver,,1981,
13869,CD 379 4 14,Tanita Tikaram,Twist in my Sobriety,,1988,
13870,CD 379 4 15,Shakin Stevens,You drive me crazy,,1981,
13871,CD 379 4 16,Bobby McFerrin,Don't worry be happy,,1988,
13872,CD 380 1,Small Faces,Tin Soldier,,1968,
13873,CD 380 2,T Rex,Ride a white swan,,1971,
13874,CD 380 3,Tremeloes,Here comes my baby,,1967,
13875,CD 380 4,Long John Baldry,Let the heartaches begin,,1967,
13876,CD 380 5,the Kinks,Mr. Pleasant,,1967,
13877,CD 380 6,J Vincent Edwards,Thanks,,1969,
13878,CD 380 7,the Searchers,Goodbye my love,,1965,
13879,CD 380 8,Edison Lighthouse,Love Grows,,1970,
13880,CD 380 9,Herman's Hermits,Dandy,,1966,
13881,CD 380 10,David Garrick,Dear Mrs. Applebee,,1966,
13882,CD 380 11,the Move,I can hear the grasss grow,,1967,
13883,CD 380 12,Twice as Much,Sitting on a fence,,1966,
13884,CD 380 13,the Herd,From te underworld,,1967,
13885,CD 380 14,Humble Pie,Natural born boogie,,1969,
13886,CD 380 15,Joe Cocker,She came in through the bathroom window,,1970,
13887,CD 380 16,the Casuals,Toy,,1969,
13888,CD 380 17,the Zombies,She's not there,,1964,
13889,CD 380 18,Chris Farlowe,Out of time,,1966,
13890,CD 228 4,Fleetwood Mac,Caroline,,1987,
13891,,,,,1987,
13892,CD 228 11,Fleetwood Mac,When I see you again,,1987,
13893,CD 381 1,Culture Club,Do you really want to hurt me,,1982,
13894,CD 381 2,Bobbie Gentry,I'll never fall in love again,,1969,
13895,CD 381 3,Glenn Campbell,Honey come back,,1970,
13896,CD 381 4,Dina Carroll,Walk on by,,1990,
13897,CD 381 5,"Everly Brothers, the",Bye bye love,,1957,
13898,CD 381 6,Dion,Runaround Sue,,1961,
13899,CD 381 7,Crystal Gayle,Don't it make my brown eyes blue,,1977,
13900,CD 381 8,Bobby Goldsboro,Honey,,1968,
13901,CD 381 9,Clilla Black,Anyone who had a heart,,1964,
13902,CD 381 10,"Swinging Blue Jeans, the",You're no good,,1964,
13903,CD 381 11,Midge Ure,No regrets,,1982,
13904,CD 381 12,Feargal Sharkey,You little thief,,1985,
13905,CD 381 13,Spandau Ballet,Only when you leave,,1984,
13906,CD 381 14,Gene Pitney,24 hours from Tulsa,,1963,
13907,CD 381 15,Moody Blues,Go now,,1964,
13908,CD 381 16,Shirley Bassey,What now my love,,1962,
13909,CD 381 17,Matt Monro,Walk away,,1964,
13910,CD 381 18,P.P. Arnold,The first cut is the deepest,,1967,
13911,CD 381 19,Dan Seals,You still move me,,1986,
13912,CD 381 20,Paul Young & the Q-Tips,Love hurts,,1980,
13913,CD 382 1,Blondie,Heart of glass,,1978,
13914,CD 382 2,Jimmy Nail,Love don't live here anymore,,1985,
13915,CD 382 3,Duran Duran,Save a prayer,,1982,
13916,CD 382 4,Bonny Tyler,It's a heartache,,1977,
13917,CD 382 5,Johnny Hates Jazz,Turn back the clock,,1988,
13918,CD 382 6,Gene Pitney,Only love can break a heart,,1962,
13919,CD 382 7,Julie London,Cry me a river,,1955,
13920,CD 382 8,Culture Club,Victims,,1983,
13921,CD 382 9,Joshua Kadison,Jessie,,1993,
13922,CD 382 10,Hot Chocolate,Tears on the telephone,,1983,
13923,CD 382 11,Del Shannon,Runaway,,1961,
13924,CD 382 12,Johnny Tillotson,It keeps right on a-hurtin',,1962,
13925,CD 382 13,Stevie Nicks,Ghosts,,1989,
13926,CD 382 14,KC & the Sunshine Band,Please don't go,,1979,
13927,CD 382 15,Timi Yuro,Hurt,,1961,
13928,CD 382 16,Suzi Quatro,If you can't give me love,,1978,
13929,CD 382 17,Gerry and the Pacemakers,Don't let the sun catch you crying,,1964,
13930,CD 382 18,Cilla Black,Make it easy on yourself,,1966,
13931,CD 382 19,Peter & Gordon,World without love,,1964,
13932,CD 382 20,Matt Monro,If you go away (No me dejes),,1968,
13933,CD 383 1,Celine Dion,Ne partez pas sans moi,,1988,
13934,CD 383 2,Crystal Gayle,You've been talking in your sleep,,1978,
13935,CD 383 3,Dr. Hook,Better love next time,,1980,
13936,CD 383 4,"Hollies, the","He ain't heavy, he's my brother",,1969,
13937,CD 383 5,Bobby Vee,Run to him,,1961,
13938,CD 383 6,Gene Pitney,I'm gonna be strong,,1964,
13939,CD 383 7,Shirley Bassey,Ev'ry time we say goodbye,,1961,
13940,CD 383 8,"Everly Brothers, the",Let it be me,,1960,
13941,CD 383 9,"Beach Boys, the",God only knows,,1966,
13942,CD 383 10,Gerry Rafferty,A change of heart,,1982,
13943,CD 383 11,MC Hammer,Have you seen her,,1990,
13944,CD 383 12,Cher,You better sit down kids,,1967,
13945,CD 383 13,Boy George,What becomes of the broken hearted,,1989,
13946,CD 383 14,Human League,Life on your own,,1984,
13947,CD 383 15,Cutting Crew,I've been in love before,,1986,
13948,CD 383 16,Julian Lennon,Too late for goodbyes,,1984,
13949,CD 383 17,Bobby Darin,Softly as I leave you,,1962,
13950,CD 383 18,Dinah Washington,I left my heart in San Francisco,,1963,
13951,CD 383 19,Pat Benatar,Love is a battlefield,,1984,
13952,CD 383 20,Gary Moore,Still got the blues (for you),,1990,
13953,CD 384 1,OMD,So in love,,1985,
13954,CD 384 2,Sinead O'Connor,Nothing compares 2 U,,1990,
13955,CD 384 3,Real Thing,You to me are everything,,1976,
13956,CD 384 4,Dr. Hook,Sharing the night together,,1978,
13957,CD 384 5,Billy Ocean,Suddenly,,1984,
13958,CD 384 6,Charles & Eddie,Would I lie to you,,1992,
13959,CD 384 7,Culture Club,God thank you woman,,1986,
13960,CD 384 8,Peabo Bryson & Roberta Flack,Tonight I celebrate my love,,1983,
13961,CD 384 9,Clifford T. Ward,Gaye,,1977,
13962,CD 384 10,"Hollies, the",The air that I breathe,,1974,
13963,CD 384 11,Robert Palmer,I'll be your baby tonight,,1990,
13964,CD 384 12,Helen Reddy,I don't know how to love him,,1971,
13965,CD 384 13,Stevie Nicks,I sing for the things,,1985,
13966,CD 384 14,Hot Chocolate,It started with a kiss,,1982,
13967,CD 384 15,Jackie Wilson,(Your love keeps liftin' me) higher and higher,,1967,
13968,CD 384 16,Breathe,Hands to heaven,,1987,
13969,CD 384 17,Marc Almond & Gene Pitney,Something's gotten hold of my heart,,1989,
13970,CD 384 18,Human League,Human,,1986,
13971,CD 385 1,Spandau Ballet,True,,1983,
13972,CD 385 2,Belinda Carlisle,Heaven is a place on earth,,1987,
13973,CD 385 3,Kate Bush,Hounds of love,,1985,
13974,CD 385 4,Don McLean,And I love you so,,1970,
13975,CD 385 5,Roxy Music,More than this,,1982,
13976,CD 385 6,Duran Duran,Is there something I should know,,1983,
13977,CD 385 7,Blondie,Atomic,,1979,
13978,CD 385 8,Pat Benatar,If you think you know how to love me,,1979,
13979,CD 385 9,Hot Chocolate,Every 1's a winner,,1978,
13980,CD 385 10,Dr. Hook,A little bit more,,1976,
13981,CD 385 11,Adrian Gurvitz,Classic,,1982,
13982,CD 385 12,Minnie Riperton,Loving you,,1974,
13983,CD 385 13,Jim Groce,I'll have to say I love you in a song,,1974,
13984,CD 385 14,George McCrea,Rock your baby,,1974,
13985,CD 385 15,A Flock of Seagulls,"The more you live, the more you love",,1984,
13986,CD 385 16,"Seekers, the",I'll never find another you,,1964,
13987,CD 385 17,Stevie Nicks,Talk to me,,1985,
13988,CD 385 18,Chesney Hawkes,Sometimes,,1993,
13989,CD 386 1,Bryan Ferry,Let's stick together,,1976,
13990,CD 386 2,Simple Minds,Let there be love,,1991,
13991,CD 386 3,Cher,Until it's time for you to go,,1975,
13992,CD 386 4,Hot Chocolate,Emma,,1974,
13993,CD 386 5,Boy George,Everything I own,,1987,
13994,CD 386 6,"Beach Boys, the",Wouldn't it be nice,,1966,
13995,CD 386 7,Mac & Katie Kissoon,The two of us,,1976,
13996,CD 386 8,Bobby Goldsboro,Summer (the first time),,1973,
13997,CD 386 9,Dusty Springfield,In private,,1989,
13998,CD 386 10,Deborah Harry,I want that man,,1989,
13999,CD 386 11,"Searchers, the",When you walk in the room,,1964,
14000,CD 386 12,Culture Club,Miss me blind,,1983,
14001,CD 386 13,Juice Newton,Angel of the morning,,1981,
14002,CD 386 14,Sheena Easton,Wind beneath my wings,,1982,
14003,CD 386 15,"Seekers, the",A world of our own,,1965,
14004,CD 386 16,Billie Jo Spears,Blanket on the ground,,1975,
14005,CD 386 17,Feargal Sharkey,A good heart,,1985,
14006,CD 386 18,Human League,Love action (I believe in love),,1981,
14007,CD 387 1 1,Rene Froger,Are you ready for loving me,,1988,
14008,CD 387 1 2,Doe Maar,De bom,Nederlands,1983,
14009,CD 387 1 3,Boudewijn de Groot,Land van Maas en Waal,Nederlands,1966,
14010,CD 387 1 4,Andre van Duin,Er staat 'n paard in de gang,Nederlands,1981,
14011,CD 387 1 5,Johnny Jordaan,Geef mij maar Amsterdam,Nederlands,1955,
14012,CD 387 1 6,Frans Bauer & Marianne Weber,De regenboog,Nederlands,1997,
